isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
NO0013735175,5,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Animal Husbandry,Research And Development,"R&D aimed at improving the environmental performance of feed and feed ingredients, fish farms, genetics, and processing","Sustainable coastal fish farms and Sustainable offshore fish farms require 100% sustainable and deforestation-free feed, certified through MarineTrust Standard or MSC (marine ingredients) and ProTerra or RTRS (soy ingredients).; Local and sustainable processing requires Chain of Custody (CoC) standard for ASC products.",Page 11 (Use of Proceeds) defines framework scope: Green bond proceeds will not be used for feed procurement but may be directed to R&D efforts to reduce the environmental footprint of feed production. Investments related to fossil fuel machinery and/or equipment are not eligible.,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=11,,
NO0013735175,6,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Fishery & Aquaculture,Sustainable Coastal Fish Farms,"Fish farms certified, or in preparation to become certified, by the ASC or Debio salmon standards. Including new production licenses or new farming technology e.g. closed, semi-closed, submerged or similar.","Sustainable coastal fish farms and Sustainable offshore fish farms require 100% sustainable and deforestation-free feed, certified through MarineTrust Standard or MSC (marine ingredients) and ProTerra or RTRS (soy ingredients).; Local and sustainable processing requires Chain of Custody (CoC) standard for ASC products.",Page 11 (Use of Proceeds) defines framework scope: Green bond proceeds will not be used for feed procurement but may be directed to R&D efforts to reduce the environmental footprint of feed production. Investments related to fossil fuel machinery and/or equipment are not eligible.,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=11,,
NO0013735175,7,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Fishery & Aquaculture,Sustainable Offshore Fish Farms,Offshore and semi-offshore fish farms,"Sustainable coastal fish farms and Sustainable offshore fish farms require 100% sustainable and deforestation-free feed, certified through MarineTrust Standard or MSC (marine ingredients) and ProTerra or RTRS (soy ingredients).; Local and sustainable processing requires Chain of Custody (CoC) standard for ASC products.",Page 11 (Use of Proceeds) defines framework scope: Green bond proceeds will not be used for feed procurement but may be directed to R&D efforts to reduce the environmental footprint of feed production. Investments related to fossil fuel machinery and/or equipment are not eligible.,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=11,,
NO0013735175,8,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Environmentally Sustainable Management of Living Natural Resources & Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Fishery & Aquaculture,Sustainable Facilities For Smolt And Roe,"RAS facilities for smolt production and closed net pens; Genetic breeding programs, focused on the development of robust qualities, in addition to general resistance to disease and good growth","Sustainable coastal fish farms and Sustainable offshore fish farms require 100% sustainable and deforestation-free feed, certified through MarineTrust Standard or MSC (marine ingredients) and ProTerra or RTRS (soy ingredients).; Local and sustainable processing requires Chain of Custody (CoC) standard for ASC products.",Page 11 (Use of Proceeds) defines framework scope: Green bond proceeds will not be used for feed procurement but may be directed to R&D efforts to reduce the environmental footprint of feed production. Investments related to fossil fuel machinery and/or equipment are not eligible.,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=11,,
NO0013735175,9,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Pollution Prevention and Control,Eco-efficient & Circular Economy Adapted Products Production Technologies & Processes,Waste Management,Waste Management,"Measures contributing to efficient management of waste: improve sorting of materials at sites, reducing biological and plastic waste, increase reuse of packaging and used fish farming equipment",,,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=13,,
NO0013735175,10,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Wastewater Treatment,"Measures that improve wastewater treatment, leading to reduced volumes of wastewater or improved water quality. Measures may include technical solutions leading to more concentrated wastewater to facilitate its disposal or upcycling for other productive purposes, such as fuel for biogas and soil fertilizer",,,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=13,,
NO0013735175,11,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Water Distribution,Water-Use Efficiency,"Improving freshwater use efficiency through technological improvements at the hatcheries, harvesting and processing plants (minimum 30% efficiency improvement), including for example plants implementing RAS technology",,,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=13,,
NO0013735175,12,SalMar,Food Products,Green,750000000.0,NOK,78662515.62590113,,Terrestrial & Aquatic Biodiversity Conservation,Environmentally Sustainable Management of Living Natural Resources & Land Use,Coastal & Marine Protection,Environmental Management,"Protection, restoration and enhancement of ecosystems and biodiversity, such as escape prevention; Improvements in fish welfare, including sea lice management and vaccination","Sustainable coastal fish farms and Sustainable offshore fish farms require 100% sustainable and deforestation-free feed, certified through MarineTrust Standard or MSC (marine ingredients) and ProTerra or RTRS (soy ingredients).; Local and sustainable processing requires Chain of Custody (CoC) standard for ASC products.",Page 11 (Use of Proceeds) defines framework scope: Green bond proceeds will not be used for feed procurement but may be directed to R&D efforts to reduce the environmental footprint of feed production. Investments related to fossil fuel machinery and/or equipment are not eligible.,,,,,,,,,,,https://source.arctal.ai/entities/salmar-asa/green-bond-framework__2024__salmar-august-outlining-company-sustainability-commitments__2024-08-XX__a918de84f82e.pdf#page=11,,
US02765MAJ18,1,"American Municipal Power, Inc.",Electric Utilities,Green,1890000,USD,1890000.0,0.0,Renewable Energy,Renewable Energy,Solar,Solar Energy,"Solar photovoltaic facilities to provide environmental benefits, including behind-the-meter solar projects recommended by 2014 long-term power supply plans",,,,,,,,,,,,,https://source.arctal.ai/entities/american-municipal-power/SPO__2018__sustainalytics-assessing-american-municipal-power-green__2018-12-11__2b41a57983cb.pdf#page=3,,
US53945CGQ78,1,"City of Los Angeles, CA",SSA,Green,8385000,USD,8385000.0,8385000.0,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management — Other,Water Recycling,Water recycling projects,,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-los-angeles-los-angeles-wastewater-system/green-finance__2017__city-administrative-officer-recommending-adoption-twenty__2017-03-30__2b2a10b4204f.pdf#page=5,,
US53945CGQ78,2,"City of Los Angeles, CA",SSA,Green,8385000,USD,8385000.0,8385000.0,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Wastewater Treatment Facilities,Wastewater system facilities which support the overall treatment objective of meeting the discharge standards in the NPDES permits,,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,,"Refinancing of wastewater system infrastructure including Hyperion Water Reclamation Plant expansion, biogas production, water recycling, and sewer improvements",,8385000.0,USD,8385000.0,1.0,https://source.arctal.ai/entities/city-of-los-angeles-los-angeles-wastewater-system/green-finance__2017__city-administrative-officer-recommending-adoption-twenty__2017-03-30__2b2a10b4204f.pdf#page=5,https://source.arctal.ai/entities/city-of-los-angeles/alloc-report__2019__voluntary-use-proceeds-wastewater-system-subordinate__unk-pub-date__299e3f9a1eaa.pdf#page=1,Fallback: using bond_total entry
US53945CGQ78,3,"City of Los Angeles, CA",SSA,Green,8385000,USD,8385000.0,8385000.0,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Wastewater Collection and Pumping,Reducing sewage spills,,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-los-angeles-los-angeles-wastewater-system/green-finance__2017__city-administrative-officer-recommending-adoption-twenty__2017-03-30__2b2a10b4204f.pdf#page=5,,
US53945CGQ78,4,"City of Los Angeles, CA",SSA,Green,8385000,USD,8385000.0,8385000.0,Sustainable Water and Wastewater Management,Pollution Prevention and Control,Wastewater Treatment,Air Quality,Projects supporting wastewater facility construction/operation,,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-los-angeles-los-angeles-wastewater-system/green-finance__2017__city-administrative-officer-recommending-adoption-twenty__2017-03-30__2b2a10b4204f.pdf#page=5,,
US20775HQC06,1,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Access to Essential Services,Socioeconomic Advancement and Empowerment,Education & Vocational Training,Teachers Mortgage Assistance Program,"Program for teachers with interest rate 0.125% lower than regular program, with additional 0.125% benefit to recruit and retain minority teachers meeting eligibility criteria","Eligibility criteria mentioned: income limits (80% AMI for HFA programs), loan-to-value limits (105% for DAP), first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775HQC06,2,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Affordable Housing — Other,Greater Than 80% AMI,Single family homeownership loans for borrowers with income greater than 80% Area Median Income,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=24,,
US20775HQC06,3,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,Multi-family Preservation (Construction),Preservation of multifamily rental housing for low-to-moderate income households meeting 20%/50% AMI thresholds with 15-year compliance periods,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,4,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,Multi-family Preservation (Rehabilitation),Preservation of multifamily rental housing for low-to-moderate income households meeting 40%/60% AMI thresholds with 15-year compliance periods,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,5,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,50% and Below AMI,Single family homeownership loans for borrowers with income at 50% and below Area Median Income,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=24,,
US20775HQC06,6,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,50.1% to 80% AMI,Single family homeownership loans for borrowers with income between 50.1% and 80% Area Median Income,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=24,,
US20775HQC06,7,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,DAP Loan,"Second mortgage loan to finance down payment and closing costs for first-time homebuyers, structured with same interest rate as first mortgage, $3,000-$20,000 or combined LTV of 105%","Eligibility criteria mentioned: income limits (80% AMI for HFA programs), loan-to-value limits (105% for DAP), first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775HQC06,8,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,HFA Advantage and Preferred,Affordable lending products developed with Fannie Mae and Freddie Mac offering below-market interest rates and mortgage insurance savings for borrowers at 80% or below area median income,"Eligibility criteria mentioned: income limits (80% AMI for HFA programs), loan-to-value limits (105% for DAP), first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775HQC06,9,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Socioeconomic Advancement and Empowerment,Low-income Housing,Military Homeownership,First-time homebuyer program for military members and veterans with interest rate 0.125% lower than regular Homebuyer Mortgage Program,"Eligibility criteria mentioned: income limits (80% AMI for HFA programs), loan-to-value limits (105% for DAP), first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775HQC06,10,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,First-Time Homebuyer Mortgages,"30-year below-market fixed interest rate mortgages for first-time homebuyers with income and equity constraints, meeting specific income criteria and sales price guidelines","Eligibility requirements mentioned: first-time homebuyer status, income criteria per Code and HUD guidelines, sales price guidelines, primary residence requirement, 60-day occupancy requirement; At least 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; Exception: first-time homebuyer requirement does not apply to certain veterans",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
US20775HQC06,11,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Socioeconomic Advancement and Empowerment,Low-income Housing,Targeted Areas Rate Discount Program,Additional rate discount for homes located in designated Targeted Areas or IRS-defined census tracts of chronic distress to increase homeownership,"Eligibility requirements mentioned: first-time homebuyer status, income criteria per Code and HUD guidelines, sales price guidelines, primary residence requirement, 60-day occupancy requirement; At least 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; Exception: first-time homebuyer requirement does not apply to certain veterans",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
US20775HQC06,12,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,Second or Down Payment Loan Assistance,Second mortgage or down payment loans to support home purchase for qualified homebuyers,"Eligibility requirements mentioned: first-time homebuyer status, income criteria per Code and HUD guidelines, sales price guidelines, primary residence requirement, 60-day occupancy requirement; At least 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; Exception: first-time homebuyer requirement does not apply to certain veterans",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
US20775HQC06,13,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,Qualified Rehabilitation and Home Improvement,Financing for qualified rehabilitation and qualified home improvement projects as part of the 95% net proceeds requirement,"Eligibility requirements mentioned: first-time homebuyer status, income criteria per Code and HUD guidelines, sales price guidelines, primary residence requirement, 60-day occupancy requirement; At least 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; Exception: first-time homebuyer requirement does not apply to certain veterans",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
US20775HQC06,14,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Socioeconomic Advancement and Empowerment,Low-income Housing,Police Homeownership,Mortgage assistance program for police officers,"Eligibility criteria mentioned: income limits 80-140% AMI, purchase price limits, first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=25,,
US20775HQC06,15,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Affordable Housing,Low-income Housing,FHA 203(k) Renovation,Mortgage financing for home purchase with renovation for eligible homebuyers,"Eligibility criteria mentioned: income limits 80-140% AMI, purchase price limits, first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=25,,
US20775HQC06,16,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Socioeconomic Advancement and Empowerment,Low-income Housing,Disabled Persons Program,Targeted mortgage programs for persons with disabilities,"Eligibility criteria mentioned: income limits 80-140% AMI, purchase price limits, first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=25,,
US20775HQC06,17,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Affordable Housing,Socioeconomic Advancement and Empowerment,Low-income Housing,Public Housing Residents Program,Targeted mortgage programs for public housing residents transitioning to homeownership,"Eligibility criteria mentioned: income limits 80-140% AMI, purchase price limits, first-time homebuyer requirements",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=25,,
US20775HQC06,18,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Climate Change Adaptation,Climate Change Adaptation,Resilient Infrastructure,Climate Change Adaptation,Climate Change Adaptation category mapped to SDG 11 (Sustainable cities and communities),,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/SPO__2022__s-p-global-ratings-assessing-alignment-connecticut-housing__2022-02-18__55e04225d44f.pdf#page=6,,
US20775HQC06,19,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Connecticut Energy Efficiency Fund,Projects supported by CEEF programs providing financial incentives to reduce energy use in homes and businesses,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,20,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Green Buildings,Certified Buildings,Passive House Institute Standard,Projects meeting Passive House Institute US (PHIUS) or Passive House Institute (PHI) standards,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,21,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Energy Efficiency,Existing Buildings/Renovation,ENERGY STAR Existing Buildings,Multi-family housing preservation projects conforming to EPA ENERGY STAR Programs for Existing Buildings,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,22,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Green Buildings,Existing Buildings/Renovation,Enterprise Green Communities Existing,Projects conforming to Enterprise Green Communities Criteria for Existing Buildings,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,23,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Green Buildings,Existing Buildings/Renovation,National Green Building Standard,Projects conforming to National Green Building Standards for Remodeling Projects,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,24,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Green Buildings,Existing Buildings/Renovation,LEED for Existing Buildings,Projects achieving Leadership in Energy and Environmental Design (LEED) certification for Existing Buildings,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,25,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Green Buildings,New Buildings,Enterprise Green Communities New Construction,New construction projects participating in Enterprise Green Communities Criteria utilizing ENERGY STAR programs,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,26,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Green Buildings,Energy Efficiency,Residential Buildings,DOE Zero Energy Ready Home,Projects meeting U.S. Department of Energy Zero Energy Ready Home standards,"No allocated amounts are provided on this page - it outlines eligibility criteria and certification standards; Subcategories extracted include: Affordable Housing (with AMI thresholds), Energy Efficiency (ENERGY STAR, DOE standards, CEEF), Green Buildings (LEED, Enterprise Green Communities, Passive House, National Green Building Standards), and Sustainable Water Management (EPA WaterSense); AMI thresholds: 20%/50% or 40%/60% with 15-year compliance periods for affordable housing",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=4,,
US20775HQC06,27,Connecticut Housing Finance Authority,SSA,Social,280000,USD,280000.0,0.0,Socioeconomic Advancement and Empowerment,Socioeconomic Advancement and Empowerment,Income Inequality Reduction,Targeted Population Discount Programs,"Rate discounts for certain targeted populations to achieve policy objectives including veterans, teachers, police, disabled persons, and public housing residents","Eligibility requirements mentioned: first-time homebuyer status, income criteria per Code and HUD guidelines, sales price guidelines, primary residence requirement, 60-day occupancy requirement; At least 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; Exception: first-time homebuyer requirement does not apply to certain veterans",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
