isin,per_isin_id,issuer_name,bond_amount,bond_currency,bond_USD_amount,post_icma_category,impact_metric,impact_type,impact_value,impact_unit,impact_per_million_USD,review_notes,post_source_detail,source_trail
CND10008Q588,3,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Bond-Wide,Annual energy savings,Environmental,24291.1032,MWh,441.088841,"Trail mentions '6,557 MWh' but then uses portfolio-level 206,557 MWh. Math: 206,557 × 0.1176 = 24,291.10. Arithmetic is correct. The '6,557 MWh' reference is unclear but may be a partial source figure; no clear derivation error.",https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: portfolio-level 206,557.00 MWh × bond_share 0.117600 = bond 400,000,000 CNY / eligible assets 3,400,000,000 CNY = 24,291.10 MWh; 24,291.10 / 55.1M USD = 441.09 MWh/$M

Extraction notes:
Portfolio-level. SPO p16: 25,372.43 tons standard coal/year × 8.141 MWh/ton = 206,557 MWh

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14; https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=15; https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=16"
CND10008Q588,4,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Clean Transportation,Added passenger capacity,Environmental,12412327.2,people,225388.652479,"Trail shows '05,547,000' which appears to be 105,547,000 with a leading zero artifact. 105,547,000 × 0.1176 = 12,412,327.20. Math is correct. However, bond_share is applied directly to the source figure rather than using allocation-specific share (bond allocation / project cost). This is a methodology choice rather than an arithmetic error.",https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 105,547,000.00 people (from source, entry=subcategory) × bond_share 0.117600 = 12,412,327.20 people; 12,412,327.20 / 55.1M USD = 225,388.65 people/$M

Extraction notes:
Portfolio-level. SPO p14: 10,554.7万人次/a = 105,547,000 passengers/year

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
CND10008Q588,5,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Clean Transportation,Added passenger capacity,Environmental,10072157.76,people,182894.797124,,https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 85,647,600.00 people (from source, entry=subcategory) × bond_share 0.117600 = 10,072,157.76 people; 10,072,157.76 / 55.1M USD = 182,894.80 people/$M

Extraction notes:
Portfolio-level. SPO p14: 8,564.76万人次/a = 85,647,600 passengers/year

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
CND10008Q588,6,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Clean Transportation,Added passenger capacity,Environmental,6917514.24,people,125611.352967,,https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 58,822,400.00 people (from source, entry=subcategory) × bond_share 0.117600 = 6,917,514.24 people; 6,917,514.24 / 55.1M USD = 125,611.35 people/$M

Extraction notes:
Portfolio-level. SPO p14: 5,882.24万人次/a = 58,822,400 passengers/year

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
CND10008Q588,7,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Clean Transportation,Added passenger capacity,Environmental,3988874.4,people,72431.785872,,https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 33,919,000.00 people (from source, entry=subcategory) × bond_share 0.117600 = 3,988,874.40 people; 3,988,874.40 / 55.1M USD = 72,431.79 people/$M

Extraction notes:
Portfolio-level. SPO p14: 3,391.9万人次/a = 33,919,000 passengers/year

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
CND10008Q588,8,Fuzhou Metro Group Co,400000000,CNY,55070772.48,Clean Transportation,Added passenger capacity,Environmental,2558493.84,people,46458.288577,,https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 21,755,900.00 people (from source, entry=subcategory) × bond_share 0.117600 = 2,558,493.84 people; 2,558,493.84 / 55.1M USD = 46,458.29 people/$M

Extraction notes:
Portfolio-level. SPO p14: 2,175.59万人次/a = 21,755,900 passengers/year

Additional sources: https://source.arctal.ai/entities/fuzhou-metro-group/SPO__2024__continuing-period-tracking-assessment-certification-lianhe__2025-04-25__966e1ae18c7d.pdf#page=14"
US50050GAM06,1,Kookmin Bank,500000000,USD,500000000.0,Renewable Energy,Installed renewable energy capacity,Environmental,93.0,MW,0.186,,https://source.arctal.ai/entities/kookmin-bank/alloc-report__2020__kb-kookmin-bank-post-issuance-impact-covering-6__2020-06-XX__07c84b2f23d2.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 93.00 MW (from source, denom=bond, entry=category); 93.00 / 500.0M USD = 0.19 MW/$M

Extraction notes:
Green category consists of Solar Power Energy only (no other renewable technologies). SME loan count is sum of 9,328 low-interest rate loans to SOHOs and 10,960 COVID-19 special guarantee loans = 20,288 total loans. GHG avoided converted from kgCO2/year to tCO2e: 8,471,920 kgCO2/year = 8,471.92 tCO2e/year. Note: Social total in table shows 473,535,282 but recalculates to 473,535,582; using the latter which matches SME Financing & Microfinance line item."
US50050GAM06,2,Kookmin Bank,500000000,USD,500000000.0,Renewable Energy,Annual GHG emissions reduced/avoided/sequestered,Environmental,8471.92,tCO2e,16.94384,,https://source.arctal.ai/entities/kookmin-bank/alloc-report__2020__kb-kookmin-bank-post-issuance-impact-covering-6__2020-06-XX__07c84b2f23d2.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 8,471.92 tCO2e (from source, denom=bond, entry=category); 8,471.92 / 500.0M USD = 16.94 tCO2e/$M

Extraction notes:
Green category consists of Solar Power Energy only (no other renewable technologies). SME loan count is sum of 9,328 low-interest rate loans to SOHOs and 10,960 COVID-19 special guarantee loans = 20,288 total loans. GHG avoided converted from kgCO2/year to tCO2e: 8,471,920 kgCO2/year = 8,471.92 tCO2e/year. Note: Social total in table shows 473,535,282 but recalculates to 473,535,582; using the latter which matches SME Financing & Microfinance line item."
US50050GAM06,3,Kookmin Bank,500000000,USD,500000000.0,Socioeconomic Advancement and Empowerment,SME loans provided,Social,20288,loans,40.576,,https://source.arctal.ai/entities/kookmin-bank/alloc-report__2020__kb-kookmin-bank-post-issuance-impact-covering-6__2020-06-XX__07c84b2f23d2.pdf#page=9,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 20,288.00 loans (from source, denom=bond, entry=category); 20,288.00 / 500.0M USD = 40.58 loans/$M

Extraction notes:
Green category consists of Solar Power Energy only (no other renewable technologies). SME loan count is sum of 9,328 low-interest rate loans to SOHOs and 10,960 COVID-19 special guarantee loans = 20,288 total loans. GHG avoided converted from kgCO2/year to tCO2e: 8,471,920 kgCO2/year = 8,471.92 tCO2e/year. Note: Social total in table shows 473,535,282 but recalculates to 473,535,582; using the latter which matches SME Financing & Microfinance line item."
TH012803FC01,1,Minor International,1000000000,THB,31796496.08,Bond-Wide,Scope 1 GHG emissions of financed entities,Environmental,194384,tCO2e,6113.378013,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 194,384.00 tCO2e (from source, denom=bond, entry=bond_total); 194,384.00 / 31.8M USD = 6,113.38 tCO2e/$M

Extraction notes:
p39: Scope 1 = 194,384 Ton CO2e. Corporate-level operational control approach.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,2,Minor International,1000000000,THB,31796496.08,Bond-Wide,Scope 2 GHG emissions of financed entities,Environmental,291811,tCO2e,9177.457771,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 291,811.00 tCO2e (from source, denom=bond, entry=bond_total); 291,811.00 / 31.8M USD = 9,177.46 tCO2e/$M

Extraction notes:
p39: Scope 2 market-based = 291,811 Ton CO2e. Used for SLB SPT tracking.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,3,Minor International,1000000000,THB,31796496.08,Bond-Wide,Scope 3 GHG emissions of financed entities,Environmental,1715364,tCO2e,53948.208505,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,715,364.00 tCO2e (from source, denom=bond, entry=bond_total); 1,715,364.00 / 31.8M USD = 53,948.21 tCO2e/$M

Extraction notes:
p39: Scope 3 total = 1,715,364 Ton CO2e (sum of 13 categories). Corporate-level.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,4,Minor International,1000000000,THB,31796496.08,Bond-Wide,"GHG emissions (footprint, scope 1-3)",Environmental,2201559,tCO2e,69239.04429,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 2,201,559.00 tCO2e (from source, denom=bond, entry=bond_total); 2,201,559.00 / 31.8M USD = 69,239.04 tCO2e/$M

Extraction notes:
p39: Total GHG footprint (Scope 1+2 market-based+3) = 194,384 + 291,811 + 1,715,364 = 2,201,559 tCO2e. Corporate-level, not bond-specific.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,5,Minor International,1000000000,THB,31796496.08,Bond-Wide,Annual energy savings,Environmental,3000,MWh,94.350019,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 3,000.00 MWh (from source, denom=bond, entry=bond_total); 3,000.00 / 31.8M USD = 94.35 MWh/$M

Extraction notes:
p43: Minor Hotels Asia/Middle East energy savings = 3 million kWh/year = 3,000 MWh. Annual savings.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,6,Minor International,1000000000,THB,31796496.08,Bond-Wide,Annual water savings,Environmental,118000,m³,3711.100736,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 118,000.00 m³ (from source, denom=bond, entry=bond_total); 118,000.00 / 31.8M USD = 3,711.10 m³/$M

Extraction notes:
p45: Minor Hotels 2024 water efficiency initiatives saved 118,000 m3 annually.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,7,Minor International,1000000000,THB,31796496.08,Bond-Wide,Area under biodiversity management,Environmental,2200000,ha,69190.01373,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 2,200,000.00 ha (from source, denom=bond, entry=bond_total); 2,200,000.00 / 31.8M USD = 69,190.01 ha/$M

Extraction notes:
p49: >2.2 million hectares of high-biodiversity value area conserved.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
TH012803FC01,8,Minor International,1000000000,THB,31796496.08,Bond-Wide,Carbon emission intensity,Environmental,0.023,tCO2e/room sold,,,https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=39,"StandardMetric: true | StandardUnit: false | PerMillionUSD: 0.02 tCO2e/room sold (from source, denom=bond, entry=bond_total); 0.02 / 31.8M USD = N/A tCO2e/room sold/$M

Extraction notes:
p73: SLB SPT - GHG Scope 1&2 intensity = 0.023 tCO2e per room sold (2024 actual). Target was 0.021 - MISSED. LRQA assured.

Additional sources: https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=43; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=44; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=45; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=49; https://source.arctal.ai/entities/minor-international-public-company-limited/SR__2024__minor-international-covering-company-performance-across__unk-pub-date__f8e25ee80d73.pdf#page=73"
SE0006371324,1,Orebro,200000000,SEK,27860275.15,Renewable Energy,Annual renewable energy generation,Environmental,7616.0,MWh,273.364134,,https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=3,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 47,600.00 MWh (from source, entry=subcategory) × bond_share 0.160000 = 7,616.00 MWh; 7,616.00 / 27.9M USD = 273.36 MWh/$M

Extraction notes:
p4: 47.6 GWh/year (2016 actual) = 47,600 MWh from KumBro Vind wind turbines. Portfolio-level absolute value.

Additional sources: https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=4"
SE0006371324,2,Orebro,200000000,SEK,27860275.15,Renewable Energy,Annual GHG emissions reduced/avoided/sequestered,Environmental,6400.0,tCO2e,229.71776,,https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=3,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 40,000.00 tCO2e (from source, entry=subcategory) × bond_share 0.160000 = 6,400.00 tCO2e; 6,400.00 / 27.9M USD = 229.72 tCO2e/$M

Extraction notes:
p4: 40,000 tCO2e/year stated as 2020 TARGET for KumBro Vind project, not actual achieved. Portfolio-level value.

Additional sources: https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=4"
SE0006371324,3,Orebro,200000000,SEK,27860275.15,Energy Efficiency,Annual energy savings,Environmental,117.44,MWh,4.215321,,https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=3,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 734.00 MWh (from source, entry=subcategory) × bond_share 0.160000 = 117.44 MWh; 117.44 / 27.9M USD = 4.22 MWh/$M

Extraction notes:
p6: Sum of renovation projects - Maskinisten 132,000 kWh + Hovsta 402,000 kWh + Varberga 200,000 kWh = 734,000 kWh/year = 734 MWh. Portfolio-level absolute value.

Additional sources: https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=6"
SE0006371324,4,Orebro,200000000,SEK,27860275.15,Sustainable Water and Wastewater Management,Annual energy savings,Environmental,272.0,MWh,9.763005,,https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=3,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 1,700.00 MWh (from source, entry=subcategory) × bond_share 0.160000 = 272.00 MWh; 272.00 / 27.9M USD = 9.76 MWh/$M

Extraction notes:
p7: 1,700 MWh/year energy savings from nitrogen removal project. Portfolio-level absolute value.

Additional sources: https://source.arctal.ai/entities/orebro-kommun/alloc-report__2016__post-issuance-impact-municipality-orebro-detailing__2016-12-31__636bc9181e9b.pdf#page=7"
XS2406607098,1,Teva Pharmaceutical Industries,1100000000,EUR,1273605112.95,Bond-Wide,Scope 1 GHG emissions of financed entities,Environmental,243603,tCO2e,191.270432,,https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=65,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 243,603.00 tCO2e (from source, denom=bond, entry=bond_total); 243,603.00 / 1,273.6M USD = 191.27 tCO2e/$M

Extraction notes:
p65: Scope 1 direct emissions 2024. Externally verified by SGS (limited assurance).

Additional sources: https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=30; https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=31"
XS2406607098,2,Teva Pharmaceutical Industries,1100000000,EUR,1273605112.95,Bond-Wide,Scope 2 GHG emissions of financed entities,Environmental,218504,tCO2e,171.563382,,https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=65,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 218,504.00 tCO2e (from source, denom=bond, entry=bond_total); 218,504.00 / 1,273.6M USD = 171.56 tCO2e/$M

Extraction notes:
p65: Scope 2 market-based emissions 2024. Externally verified by SGS (limited assurance).

Additional sources: https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=30; https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=31"
XS2406607098,3,Teva Pharmaceutical Industries,1100000000,EUR,1273605112.95,Bond-Wide,"GHG emissions (footprint, scope 1-3)",Environmental,462107,tCO2e,362.833813,"Scope 1 (243,603) + Scope 2 (218,504) = 462,107 which matches this value exactly. However, this is labeled as scope 1-3 but equals only scope 1+2. If scope 3 (4,066,116) should be included, the total would be 4,528,223. This may represent a scope 1+2 footprint mislabeled as 1-3, or it could be a specific KPI target metric (e.g., carbon reduction target) distinct from total scope 1-3. Cannot correct without more context.",https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=65,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 462,107.00 tCO2e (from source, denom=bond, entry=bond_total); 462,107.00 / 1,273.6M USD = 362.83 tCO2e/$M

Extraction notes:
p65: Scope 1+2 market-based emissions 2024. SLB SPT #2a target: -25% by 2025 vs 2019 baseline (647,500 tCO2e). Achieved -29% reduction. Externally verified by SGS (limited assurance, ISO 14064-3).

Additional sources: https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=30; https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=31"
XS2406607098,4,Teva Pharmaceutical Industries,1100000000,EUR,1273605112.95,Bond-Wide,Scope 3 GHG emissions of financed entities,Environmental,4066116,tCO2e,3192.603389,,https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=65,"StandardMetric: true | StandardUnit: true | PerMillionUSD: 4,066,116.00 tCO2e (from source, denom=bond, entry=bond_total); 4,066,116.00 / 1,273.6M USD = 3,192.60 tCO2e/$M

Extraction notes:
p65: Scope 3 indirect emissions 2024. Externally verified by DNV (limited assurance, ISAE 3000).

Additional sources: https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=30; https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=31"
XS2406607098,5,Teva Pharmaceutical Industries,1100000000,EUR,1273605112.95,Bond-Wide,Beneficiaries reached,Social,187329,patients,147.085622,Unit is 'patients' but StandardUnit is false. The trail references a '150% increase target by 2025 vs 2020 baseline' suggesting this is a KPI target value. The unit may need review but no arithmetic error is evident.,https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=65,"StandardMetric: true | StandardUnit: false | PerMillionUSD: 187,329.00 patients (from source, denom=bond, entry=bond_total); 187,329.00 / 1,273.6M USD = 147.09 patients/$M

Extraction notes:
p31: Total patients reached/treated across all Access to Medicines programs in 2024. SLB SPT #1 tracks LMIC-specific subset (54,327 patients on p30) for 150% increase target by 2025 vs 2020 baseline.

Additional sources: https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=30; https://source.arctal.ai/entities/teva-pharmaceutical-industries/SR__2024__teva-pharmaceutical-industries-LTD-healthy-future-covering__unk-pub-date__e9d06000baa6.pdf#page=31"
BRSSCFDBS030,1,Solfacil Securitizadora de CrÃƒÂ©dito Financeiro SA,4000000,BRL,957897.99,,,,,,,,,
CND10007KF01,1,Black Peony Group,200000000,CNY,27830495.91,,,,,,,,,
US89602HFH57,1,Triborough Bridge and Tunnel Authority,84300000,USD,84300000.0,,,,,,,,,
